"group","Firmicutes","Bacteroidetes","Proteobacteria","Candidatus","Actinobacteria","Verrucomicrobia","Bacteria_unclassified","Elusimicrobia","Tenericutes","Fusobacteria","Euryarchaeota","Lentisphaerae","Deferribacteres","Cyanobacteria.Chloroplast","X_unclassified"
"51_0W","0W",0.601397,0.365378,0.010196,0.013382,0.002245,0.003396,0.00196,0.000456,1.9e-05,0.00057,0.001001,0,0,0,0
"55_0W","0W",0.330519,0.604741,0.028796,0.00535,0.00163,0.017798,0.008552,0.001654,0.000734,0.000125,3.1e-05,3.1e-05,3.9e-05,0,0
"68_0W","0W",0.536417,0.418748,0.030458,0.002461,0.000368,0.008201,0.001557,0.001081,5.4e-05,0.000153,0.000407,3e-05,6.5e-05,0,0
"70_0W","0W",0.59776,0.341501,0.019088,0.002352,0.000842,0.036719,0.001516,9.2e-05,0,0,7.4e-05,0,5.6e-05,0,0
"72_0W","0W",0.476064,0.478083,0.042587,0.000692,0.000658,2.1e-05,0.001556,0,2.9e-05,0.000244,0,6.6e-05,0,0,0
"77_0W","0W",0.564556,0.401287,0.025291,0.003686,0.000685,0.001563,0.002663,9.4e-05,0,0,0.000145,3e-05,0,0,0
"78_0W","0W",0.464538,0.501393,0.015877,0.003562,0.000906,0.011147,0.002215,2e-04,2.8e-05,0,0.000134,0,0,0,0
"405_0W","0W",0.764322,0.191279,0.014689,0.020622,0.002029,0.001099,0.004824,0.00017,0.000191,0,0.000723,0,5.2e-05,0,0
"411_0W","0W",0.513684,0.451041,0.024279,0.005329,0.000645,0.000288,0.003427,0.000265,4.8e-05,0.000462,0.000532,0,0,0,0
"431_0W","0W",0.330851,0.632937,0.019733,0.006524,0.000444,0.002857,0.002975,0.001078,0.001422,0.001151,2.8e-05,0,0,0,0
"51_1W","1W",0.481632,0.466542,0.045335,0.001682,0.002763,0,0.00142,2e-05,0.00016,0.000261,0.000185,0,0,0,0
"51_2W","2W",0.488003,0.428122,0.080869,2.5e-05,0.002481,0,8.9e-05,0,0,0.000267,2e-05,0,0.000124,0,0
"51_3W","3W",0.520945,0.453088,0.01066,0.000324,0.014065,7.5e-05,0.00063,0,3.6e-05,0.000112,6.5e-05,0,0,0,0
"51_4W","4W",0.415973,0.559365,0.019465,0,0.003424,3e-05,0.00116,0,0,0.000413,5.5e-05,5.7e-05,2.5e-05,3.3e-05,0
"51_5W","5W",0.492132,0.441722,0.044784,2.2e-05,0.020371,0,0.000745,0,0.000107,9.6e-05,0,0,0,2.1e-05,0
"55_1W","1W",0.86554,0.061916,0.05942,4.5e-05,0.009319,4.3e-05,2.5e-05,9.8e-05,0.000237,0.003357,0,0,0,0,0
"55_2W","2W",0.517234,0.42007,0.047965,0,0.007654,9.7e-05,0.002938,0,0,0.003529,2.6e-05,3e-05,0.000457,0,0
"55_3W","3W",0.436801,0.512327,0.022242,0,0.025447,0.000143,0.002879,0,0,0.000137,0,2.4e-05,0,0,0
"55_4W","4W",0.49718,0.449248,0.01273,5.4e-05,0.034527,1.8e-05,0.00611,0,0,2.3e-05,4.2e-05,4.8e-05,2e-05,0,0
"55_5W","5W",0.476948,0.467478,0.035348,0,0.018707,0,0.001219,2.2e-05,2.5e-05,0.000198,3.8e-05,0,1.7e-05,0,0
"68_1W","1W",0.821351,0.019212,0.148184,0,0.007027,2.7e-05,6.3e-05,2.8e-05,0,0.004065,0,0,0,4.3e-05,0
"68_2W","2W",0.356855,0.570897,0.066149,2.9e-05,0.001108,5.4e-05,0.000414,0,0,0.002465,0.001527,0.000245,0.000236,2.1e-05,0
"68_3W","3W",0.440962,0.543838,0.012326,0,0.001856,2.6e-05,0.000947,0,0,4.5e-05,0,0,0,0,0
"68_4W","4W",0.339731,0.61323,0.037499,0,0.008324,0.000462,0.000496,0,0,2.2e-05,3.1e-05,3.6e-05,0.000169,0,0
"68_5W","5W",0.291349,0.66562,0.037597,2.2e-05,0.003091,0.001295,0.000185,0,0,0.000372,0.000211,0.000134,0.000124,0,0
"70_1W","1W",0.753974,0.150166,0.0887,1.8e-05,0.006589,0,5.1e-05,0,0,0.000489,0,1.3e-05,0,0,0
"70_2W","2W",0.647169,0.304901,0.046376,2.1e-05,0.000546,6.9e-05,0.000129,0,0,0.000766,2.3e-05,0,0,0,0
"70_3W","3W",0.377339,0.585875,0.03439,5.1e-05,0.002003,0,0.000278,0,0,6.4e-05,0,0,0,0,0
"70_4W","4W",0.477025,0.489155,0.029742,0,0.002938,0,0.000443,0,0,0.000161,0.000265,0.000243,0,2.8e-05,0
"70_5W","5W",0.445296,0.511376,0.031764,2.3e-05,0.010938,9.3e-05,0.00021,0,0,0.000153,0.000147,0,0,0,0
"72_1W","1W",0.649671,0.241033,0.096869,0,0.011606,0,7.1e-05,0,0,0.000728,0,0,2.2e-05,0,0
"72_2W","2W",0.550514,0.372946,0.075987,2.9e-05,0.00029,4.6e-05,2.2e-05,0,0,0.000166,0,0,0,0,0
"72_3W","3W",0.617603,0.333312,0.046878,7.9e-05,0.001434,0,0.000592,0,2.7e-05,7.5e-05,0,0,0,0,0
"72_4W","4W",0.640034,0.341803,0.014143,0,0.003689,0,0.000147,2.6e-05,0,2.7e-05,0,0,7e-05,6.1e-05,0
"72_5W","5W",0.422051,0.55878,0.01538,0,0.002264,5.2e-05,0.000257,0,0.000602,0.000146,0,2.6e-05,0.000442,0,0
"77_2W","2W",0.574218,0.406251,0.016396,3.1e-05,0.002136,0.000188,0.000752,0,0,2.8e-05,0,0,0,0,0
"77_3W","3W",0.400797,0.562671,0.025049,0,0.009567,8.6e-05,0.001781,0,0,2.8e-05,0,0,2.1e-05,0,0
"77_4W","4W",0.36898,0.59312,0.01732,0,0.013637,4.7e-05,0.006835,0,0,6.1e-05,0,0,0,0,0
"77_5W","5W",0.233815,0.723936,0.0299,0,0.003326,7.2e-05,0.008493,0,0,0.00021,4.5e-05,0.000176,2.7e-05,0,0
"78_1W","1W",0.820369,0.005888,0.168741,2e-05,0.002124,2.1e-05,0.000207,0,0,0.00263,0,0,0,0,0
"78_2W","2W",0.429677,0.531298,0.020691,0,0.016499,0,0.001483,0,0,0.000261,0,0,9.1e-05,0,0
"78_3W","3W",0.420281,0.541516,0.019436,0,0.017756,0,0.000603,0,0,0.000265,0,2.2e-05,0.000121,0,0
"78_4W","4W",0.556849,0.402278,0.023812,0,0.016607,7e-05,0.000198,0,5.4e-05,0.000112,0,0,2e-05,0,0
"78_5W","5W",0.527962,0.426582,0.031985,0,0.012562,4.6e-05,0.000521,0,0,0.000304,0,3.8e-05,0,0,0
"405_1W","1W",0.51329,0.437074,0.042419,0.000133,0.004288,2e-05,0.000423,5.2e-05,0.002144,5.6e-05,7.1e-05,0,0,3e-05,0
"405_2W","2W",0.582394,0.383809,0.018431,0,0.013866,9.9e-05,0.000887,0,9.4e-05,0.000207,3.5e-05,0.00015,0,2.8e-05,0
"405_3W","3W",0.602127,0.360599,0.03201,2e-05,0.003369,6.3e-05,0.000454,0,0.001137,8.8e-05,2e-05,2.2e-05,0,9.1e-05,0
"405_4W","4W",0.382905,0.572448,0.038994,0,0.002711,4.1e-05,0.000374,0,0.002159,8.3e-05,2.4e-05,0.000222,0,3.9e-05,0
"405_5W","5W",0.327564,0.63602,0.027704,1.8e-05,0.002712,0.000139,0.001309,0,0.003308,0.000172,0.000227,0.000811,0,1.6e-05,0
"411_1W","1W",0.770014,0.143916,0.07748,2.9e-05,0.005543,2.3e-05,2.2e-05,0,0.001194,0.001745,0,0,0,3.4e-05,0
"411_2W","2W",0.311503,0.642369,0.026455,2.4e-05,0.002145,0.001435,0.008683,0,2.3e-05,0.007206,0,0.00013,2.7e-05,0,0
"411_3W","3W",0.379264,0.589761,0.023533,2.8e-05,0.006378,4.4e-05,0.000438,0,0.000492,6.2e-05,0,0,0,0,0
"411_4W","4W",0.447927,0.518082,0.015109,0,0.015938,0.000285,0.002334,0,0.000178,3.2e-05,0,0.000115,0,0,0
"411_5W","5W",0.382999,0.572598,0.029538,0,0.010756,1.9e-05,0.001725,0,0.001981,4.4e-05,0,0.000321,0,1.9e-05,0
"431_1W","1W",0.598857,0.343564,0.036718,0.000178,0.015404,0.000541,0.000462,0,0.003853,0.000423,0,0,0,0,0
"431_2W","2W",0.454408,0.510072,0.02768,0,0.003088,0.000118,0.001987,0,0.002232,0.000339,7.6e-05,0,0,0,0
"431_3W","3W",0.552676,0.416875,0.027777,2.6e-05,0.002042,0,0.000308,0,0.000275,2.1e-05,0,0,0,0,0
"431_4W","4W",0.263577,0.688134,0.04173,2.9e-05,0.004433,5.5e-05,0.000106,0,0.001713,0.000168,0,0,5.5e-05,0,0
"431_5W","5W",0.373119,0.575954,0.028573,0,0.014011,8.8e-05,0.003652,0,0.004462,4.7e-05,0,7.5e-05,0,1.9e-05,0
